Week No,W_C
1,2024-01-01
2,2024-01-08
3,2024-01-15
4,2024-01-22
5,2024-01-29
6,2024-02-05
7,2024-02-12
8,2024-02-19
9,2024-02-26
10,2024-03-04
11,2024-03-11
12,2024-03-18
13,2024-03-25
14,2024-04-01
15,2024-04-08
16,2024-04-15
17,2024-04-22
18,2024-04-29
19,2024-05-06
20,2024-05-13
21,2024-05-20
22,2024-05-27
23,2024-06-03
24,2024-06-10
25,2024-06-17
26,2024-06-24
27,2024-07-01
28,2024-07-08
29,2024-07-15
30,2024-07-22
31,2024-07-29
32,2024-08-05
33,2024-08-12
34,2024-08-19
35,2024-08-26
36,2024-09-02
37,2024-09-09
38,2024-09-16
39,2024-09-23
40,2024-09-30
41,2024-10-07
42,2024-10-14
43,2024-10-21
44,2024-10-28
45,2024-11-04
46,2024-11-11
47,2024-11-18
48,2024-11-25
49,2024-12-02
50,2024-12-09
51,2024-12-16
52,2024-12-23